

Date,Type,Size kB,Test Size Converted,Score Kbps,Score Mbps,Score kB/s,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID
08/26/2015 8:24:02 am,DN,43520,42.5 MB,43569,42.55,5446,5.32,DASKAjA,77193099998,deutsche_telekom_ag,65------de,JPtMVDvy
08/26/2015 8:09:01 am,DN,45952,44.9 MB,46401,45.31,5800,5.66,DASKAjA,77193099998,deutsche_telekom_ag,65------de,Qst3H9wb
08/26/2015 7:53:59 am,DN,28544,27.9 MB,41499,40.53,5187,5.07,DASKAjA,77193099998,deutsche_telekom_ag,65------de,IYFCTwoO
08/25/2015 10:06:43 pm,DN,37120,36.3 MB,42971,41.96,5371,5.25,DASKAjA,7719310232955,deutsche_telekom_ag,65------de,wAmHFao2
08/25/2015 9:25:29 pm,DN,39168,38.3 MB,32327,31.57,4041,3.95,DASKAjA,7719310232955,deutsche_telekom_ag,65------de,nfFKS3yP
08/25/2015 9:19:13 pm,DN,45184,44.1 MB,42706,41.71,5338,5.21,DASKAjA,7719310232955,deutsche_telekom_ag,65------de,WRjuwCd9
08/25/2015 4:42:29 pm,DN,43904,42.9 MB,42445,41.45,5306,5.18,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,lx8a4SZq
08/25/2015 4:12:28 pm,DN,45312,44.3 MB,43170,42.16,5396,5.27,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,n6SZqPrK
08/25/2015 3:42:27 pm,DN,36608,35.8 MB,38252,37.36,4782,4.67,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,ln1MHReI
08/25/2015 3:12:26 pm,DN,34816,34 MB,36901,36.04,4613,4.5,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,LYAVr5yR
08/25/2015 2:42:25 pm,DN,43648,42.6 MB,42850,41.85,5356,5.23,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,piUdu6mM
08/25/2015 2:12:24 pm,DN,35968,35.1 MB,38820,37.91,4853,4.74,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,NnWMmfHQ
08/25/2015 1:42:23 pm,DN,44416,43.4 MB,42644,41.64,5331,5.21,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,jRXtnm2l
08/25/2015 1:12:11 pm,DN,44416,43.4 MB,42844,41.84,5356,5.23,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,k6b5Lu8M
08/25/2015 12:42:10 pm,DN,45824,44.8 MB,42454,41.46,5307,5.18,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,SJD3mWhi
08/25/2015 12:12:12 pm,DN,33792,33 MB,31318,30.58,3915,3.82,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,asWiBORV
08/25/2015 11:42:08 am,DN,44800,43.8 MB,40786,39.83,5098,4.98,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,wUX4suD9
08/25/2015 11:12:06 am,DN,32000,31.3 MB,35854,35.01,4482,4.38,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,NIGTJSyV
08/25/2015 10:42:06 am,DN,44928,43.9 MB,41638,40.66,5205,5.08,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,KwfRo47O
08/25/2015 10:12:04 am,DN,44544,43.5 MB,42057,41.07,5257,5.13,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,FuBmcKRT
08/25/2015 9:41:53 am,DN,42624,41.6 MB,42403,41.41,5300,5.18,DASKAjA,7991039288448,deutsche_telekom_ag,65------de,takqmvrD
